epoch,train_energy_rmse,test_energy_rmse,train_force_rmse,test_force_rmse,learning_rates,epoch_times
0,1.373659860573251,1.2891430769307204,nan,nan,nan,nan
1,1.285161922271324,1.0983873979948287,nan,nan,nan,nan
2,1.0590026135246295,0.9283845397033319,nan,nan,nan,nan
3,0.9152457099981453,0.7729961839870575,nan,nan,nan,nan
4,0.8064582980293984,0.6455275608169498,nan,nan,nan,nan
5,0.860473100809504,0.5482906414165546,nan,nan,nan,nan
6,0.6658016516926798,0.49817534662415425,nan,nan,nan,nan
7,0.6897616266029017,0.4790429180927561,nan,nan,nan,nan
8,0.6465592846878154,0.47260778295776273,nan,nan,nan,nan
9,0.6128698207987747,0.4704266889532137,nan,nan,nan,nan
10,0.5621809022220019,0.4645790302728496,nan,nan,nan,nan
11,0.5329318032945418,0.4528369937869591,nan,nan,nan,nan
12,0.6256385077951947,0.43060075680614684,nan,nan,nan,nan
13,0.5288652423118795,0.4136476019535698,nan,nan,nan,nan
14,0.5499695895188752,0.39009016788969064,nan,nan,nan,nan
15,0.4812951526230214,0.376079307803733,nan,nan,nan,nan
16,0.4471567299419668,0.35662226576658557,nan,nan,nan,nan
17,0.4215155927364564,0.33492032809220107,nan,nan,nan,nan
18,0.4142066683711863,0.31026432894284356,nan,nan,nan,nan
19,0.48467252468187344,0.2834794276941545,nan,nan,nan,nan
20,0.3668652028831495,0.2693313301532019,nan,nan,nan,nan
21,0.36262689658428277,0.24997550238832875,nan,nan,nan,nan
22,0.329672321250939,0.22487986089355794,nan,nan,nan,nan
23,0.28574465048064707,0.20880240756295018,nan,nan,nan,nan
24,0.3243374339394392,0.18698369062091558,nan,nan,nan,nan
25,0.26058730531155716,0.17432365236586284,nan,nan,nan,nan
26,0.26767251791989555,0.16862568412872916,nan,nan,nan,nan
27,0.24888785934284668,0.1598658431524575,nan,nan,nan,nan
28,0.2469190384010263,0.1479711378134726,nan,nan,nan,nan
29,0.24137113096699458,0.14252769629792084,nan,nan,nan,nan
30,0.24147029302396508,0.13591212895597535,nan,nan,nan,nan
31,0.22487273508513664,0.12820977697954292,nan,nan,nan,nan
32,0.2828461131128076,0.1228931745372365,nan,nan,nan,nan
33,0.281784377487475,0.12063569592757808,nan,nan,nan,nan
34,0.20242212391036601,0.1176085526994687,nan,nan,nan,nan
35,0.2100324722033577,0.1144508567918601,nan,nan,nan,nan
36,0.19941626177345886,0.11568645642404862,nan,nan,nan,nan
37,0.19451985471885724,0.11567531992826752,nan,nan,nan,nan
38,0.24832712867142298,0.11535094150459978,nan,nan,nan,nan
39,0.1920377416133982,0.1167709433515834,nan,nan,nan,nan
40,0.17945228422722787,0.1219244490863649,nan,nan,nan,nan
41,0.18881479166690485,0.12126778409557333,nan,nan,nan,nan
42,0.18016077238955616,0.11828603895343436,nan,nan,nan,nan
43,0.17004326807898565,0.12638117123104242,nan,nan,nan,nan
44,0.2268638241973237,0.13148041812390696,nan,nan,nan,nan
45,0.1646003358659328,0.1337193113126022,nan,nan,nan,nan
