epoch,train_energy_rmse,test_energy_rmse,train_force_rmse,test_force_rmse,learning_rates,epoch_times
0,2.3779353120491424,2.3691107222849572,nan,nan,nan,nan
1,2.0598095766538456,2.1082661116209156,nan,nan,nan,nan
2,1.8779424495039154,1.8576204881037974,nan,nan,nan,nan
3,1.6131195761697739,1.615857225981723,nan,nan,nan,nan
4,1.4261607589564211,1.3863953463976353,nan,nan,nan,nan
5,1.1938425789214844,1.16738233250516,nan,nan,nan,nan
6,1.009229740993375,0.962569501885383,nan,nan,nan,nan
7,0.880517731999082,0.7794319224562193,nan,nan,nan,nan
8,0.7429737529179778,0.631082300849962,nan,nan,nan,nan
9,0.6315132681291363,0.524639583113512,nan,nan,nan,nan
10,0.6062262423487994,0.46230142744571234,nan,nan,nan,nan
11,0.5596957436222846,0.43024163220039285,nan,nan,nan,nan
12,0.5432421942871832,0.40765385313562574,nan,nan,nan,nan
13,0.4993144884463542,0.37050758689586083,nan,nan,nan,nan
14,0.4896267218779811,0.33781357004231727,nan,nan,nan,nan
15,0.47905828805009776,0.30659009814841465,nan,nan,nan,nan
16,0.5415097709803895,0.2645091694308842,nan,nan,nan,nan
17,0.40471591583461297,0.24352214865663724,nan,nan,nan,nan
18,0.40780752379342144,0.22245377332311203,nan,nan,nan,nan
19,0.4230735050717743,0.20734634890531933,nan,nan,nan,nan
20,0.3981249092156026,0.1930887719248412,nan,nan,nan,nan
21,0.3343810992267278,0.180705600072246,nan,nan,nan,nan
22,0.3271854511905052,0.16410975802582228,nan,nan,nan,nan
23,0.3093109836438118,0.15254012704036835,nan,nan,nan,nan
24,0.31138987036237864,0.14456245708176194,nan,nan,nan,nan
25,0.26290801331433317,0.13782692857844703,nan,nan,nan,nan
26,0.23882206325992214,0.1352560496211825,nan,nan,nan,nan
27,0.24908752804015472,0.12647643352420174,nan,nan,nan,nan
28,0.23941342497379284,0.1235121108026962,nan,nan,nan,nan
29,0.23176205695702606,0.11656333058323347,nan,nan,nan,nan
30,0.2116564065574989,0.11331741867053986,nan,nan,nan,nan
31,0.18505812702764332,0.11710812903684545,nan,nan,nan,nan
32,0.18467562661866715,0.11518732959224778,nan,nan,nan,nan
33,0.20090085238382915,0.11553323879936321,nan,nan,nan,nan
34,0.20426639268012953,0.10962841042164974,nan,nan,nan,nan
35,0.2264500665105385,0.11351372719956081,nan,nan,nan,nan
36,0.18264313322178186,0.11900391985007598,nan,nan,nan,nan
37,0.20022611658922512,0.11198847067457986,nan,nan,nan,nan
38,0.16998264953095407,0.1048845624245122,nan,nan,nan,nan
39,0.16452928426488922,0.10647809712880155,nan,nan,nan,nan
40,0.21402415339335926,0.11785191312411729,nan,nan,nan,nan
41,0.1621921979931497,0.10899993442127787,nan,nan,nan,nan
42,0.17138155839336527,0.10492623736084669,nan,nan,nan,nan
43,0.16045633236173998,0.10362505722000187,nan,nan,nan,nan
44,0.15334791392927255,0.10541672649421253,nan,nan,nan,nan
45,0.15942043211223217,0.11101504505791554,nan,nan,nan,nan
46,0.16190735012044155,0.1416423865323317,nan,nan,nan,nan
47,0.1641114493267874,0.12156291527582433,nan,nan,nan,nan
48,0.16289899838313304,0.11876573421972599,nan,nan,nan,nan
49,0.14130692587924895,0.12284799239079625,nan,nan,nan,nan
50,0.14536712360381865,0.13692334949854937,nan,nan,nan,nan
51,0.1432879893419991,0.1306831631741657,nan,nan,nan,nan
52,0.13864966393025405,0.13149062547300244,nan,nan,nan,nan
53,0.1463091978317452,0.12872151955488065,nan,nan,nan,nan
54,0.1378134378126356,0.128442456147958,nan,nan,nan,nan
55,0.14605509068527658,0.12474841961388078,nan,nan,nan,nan
56,0.13979203961474868,0.15483374866564867,nan,nan,nan,nan
57,0.13478078487102982,0.1526977500089611,nan,nan,nan,nan
58,0.14329738929269484,0.1397654684554661,nan,nan,nan,nan
